iter	Passed	Remaining
0	147	146922
1	147	73803
2	148	49454
3	149	37252
4	150	29936
5	151	25051
6	152	21572
7	153	18972
8	153	16939
9	154	15305
10	155	13971
11	156	12861
12	157	11920
13	157	11115
14	158	10423
15	159	9820
16	161	9309
17	161	8829
18	162	8390
19	163	8005
20	164	7654
21	165	7339
22	165	7046
23	166	6775
24	167	6531
25	168	6303
26	169	6093
27	169	5897
28	170	5712
29	171	5542
30	172	5386
31	173	5238
32	174	5100
33	175	4985
34	176	4864
35	177	4747
36	178	4635
37	178	4530
38	179	4430
39	180	4339
40	181	4250
41	182	4165
42	183	4084
43	184	4008
44	185	3931
45	186	3859
46	187	3795
47	188	3733
48	189	3683
49	190	3622
50	191	3563
51	192	3506
52	193	3449
53	194	3402
54	195	3353
55	196	3304
56	196	3253
57	197	3207
58	198	3162
59	199	3121
60	200	3080
61	200	3040
62	201	3000
63	203	2971
64	204	2940
65	205	2909
66	206	2877
67	207	2846
68	208	2815
69	209	2786
70	210	2754
71	211	2724
72	212	2696
73	213	2666
74	213	2638
75	214	2612
76	215	2585
77	216	2557
78	217	2532
79	218	2509
80	219	2491
81	220	2472
82	221	2444
83	222	2422
84	222	2400
85	223	2379
86	224	2358
87	225	2336
88	226	2315
89	227	2295
90	227	2276
91	228	2257
92	229	2239
93	230	2221
94	231	2203
95	232	2187
96	233	2171
97	234	2159
98	235	2143
99	236	2126
100	237	2109
101	237	2094
102	238	2078
103	239	2064
104	240	2048
105	241	2034
106	242	2020
107	242	2005
108	243	1990
109	244	1978
110	245	1965
111	246	1951
112	246	1937
113	247	1924
114	248	1915
115	250	1907
116	250	1893
117	251	1880
118	252	1868
119	253	1855
120	253	1844
121	254	1831
122	255	1820
123	256	1809
124	256	1798
125	257	1787
126	258	1775
127	259	1765
128	260	1756
129	260	1745
130	261	1734
131	262	1724
132	263	1716
133	264	1710
134	265	1702
135	266	1692
136	267	1683
137	267	1673
138	268	1665
139	269	1656
140	270	1647
141	270	1636
142	271	1628
143	272	1619
144	273	1611
145	274	1604
146	275	1596
147	275	1587
148	276	1579
149	277	1572
150	278	1565
151	280	1562
152	281	1555
153	281	1548
154	282	1541
155	283	1534
156	284	1527
157	285	1519
158	286	1513
159	286	1506
160	287	1498
161	288	1491
162	289	1484
163	289	1477
164	290	1470
165	291	1464
166	292	1458
167	293	1452
168	294	1448
169	295	1444
170	296	1437
171	297	1431
172	298	1425
173	299	1419
174	299	1413
175	300	1408
176	301	1402
177	302	1397
178	303	1391
179	304	1385
180	305	1380
181	305	1374
182	306	1368
183	307	1363
184	308	1358
185	309	1355
186	310	1350
187	311	1345
188	312	1340
189	313	1334
190	313	1329
191	314	1324
192	315	1319
193	316	1314
194	317	1309
195	317	1303
196	318	1299
197	319	1294
198	320	1289
199	321	1284
200	321	1279
201	322	1275
202	323	1270
203	325	1268
204	325	1264
205	326	1259
206	327	1254
207	328	1249
208	329	1245
209	329	1241
210	330	1236
211	331	1232
212	332	1227
213	333	1223
214	333	1219
215	334	1215
216	335	1211
217	336	1206
218	337	1202
219	337	1197
220	338	1193
221	340	1191
222	340	1187
223	341	1183
224	342	1179
225	343	1175
226	344	1172
227	344	1167
228	345	1163
229	346	1159
230	347	1156
231	348	1153
232	349	1149
233	349	1145
234	350	1141
235	351	1137
236	352	1133
237	352	1129
238	353	1126
239	354	1123
240	356	1121
241	356	1117
242	357	1113
243	358	1109
244	358	1106
245	359	1102
246	360	1099
247	361	1095
248	362	1092
249	362	1088
250	363	1085
251	364	1082
252	365	1078
253	366	1075
254	367	1072
255	367	1069
256	368	1066
257	369	1063
258	370	1061
259	371	1057
260	372	1054
261	373	1051
262	373	1047
263	374	1044
264	375	1041
265	376	1038
266	377	1035
267	378	1032
268	379	1030
269	380	1027
270	380	1024
271	381	1021
272	382	1019
273	383	1017
274	385	1015
275	386	1013
